	x		e^x		(e^x)'
      5.13	    169.02	    169.87
      5.14	    170.72	    171.58
      5.15	    172.44	    173.30
      5.16	    174.17	    175.05
      5.17	    175.92	    176.81
      5.18	    177.69	    178.58
      5.19	    179.47	    180.38
      5.20	    181.28	    182.19
      5.21	    183.10	    184.02
      5.22	    184.94	    185.87
      5.23	    186.80	    187.74
      5.24	    188.67	    189.63
      5.25	    190.57	    191.53
      5.26	    192.49	    193.46
      5.27	    194.42	    195.40
      5.28	    196.37	    197.36
      5.29	    198.35	    199.35
      5.30	    200.34	    201.35
      5.31	    202.36	    203.38
      5.32	    204.39	    205.42
      5.33	    206.44	    207.48
      5.34	    208.52	    209.57
      5.35	    210.61	    211.68
      5.36	    212.73	    213.80
      5.37	    214.87	    215.95
      5.38	    217.03	    218.12
      5.39	    219.21	    220.31
      5.40	    221.41	    222.53
      5.41	    223.64	    224.77
      5.42	    225.89	    227.02
      5.43	    228.16	    229.31
      5.44	    230.45	    231.61
      5.45	    232.77	    233.94
      5.46	    235.10	    236.29
      5.47	    237.47	    238.66
      5.48	    239.85	    241.06
      5.49	    242.26	    243.49
      5.50	    244.70	    245.93
      5.51	    247.16	    248.40
      5.52	    249.64	    250.90
      5.53	    252.15	    253.42
      5.54	    254.69	    255.97
      5.55	    257.25	    258.54
      5.56	    259.83	    261.14
      5.57	    262.44	    263.77
      5.58	    265.08	    266.42
      5.59	    267.74	    269.09
      5.60	    270.44	    271.80
      5.61	    273.15	    274.53
      5.62	    275.90	    277.29
      5.63	    278.67	    280.08
      5.64	    281.47	    282.89
      5.65	    284.30	    285.73
      5.66	    287.16	    288.61
      5.67	    290.04	    291.51
      5.68	    292.96	    294.44
      5.69	    295.90	    297.40
      5.70	    298.88	    300.38
      5.71	    301.88	    303.40
      5.72	    304.92	    306.45
      5.73	    307.98	    309.53
      5.74	    311.08	    312.64
      5.75	    314.20	    315.79
      5.76	    317.36	    318.96
      5.77	    320.55	    322.17
      5.78	    323.77	    325.40
      5.79	    327.03	    328.67
      5.80	    330.31	    331.98
      5.81	    333.63	    335.31
      5.82	    336.98	    338.68
      5.83	    340.37	    342.09
      5.84	    343.79	    345.53
      5.85	    347.25	    349.00
      5.86	    350.74	    352.51
      5.87	    354.26	    356.05
      5.88	    357.82	    359.63
      5.89	    361.42	    363.24
      5.90	    365.05	    366.89
      5.91	    368.72	    370.58
      5.92	    372.43	    374.30
      5.93	    376.17	    378.07
      5.94	    379.95	    381.87
      5.95	    383.77	    385.70
      5.96	    387.63	    389.58
      5.97	    391.52	    393.50
      5.98	    395.46	    397.45
      5.99	    399.43	    401.44
      6.00	    403.45	    405.48
      6.01	    407.50	    409.55
      6.02	    411.60	    413.67
      6.03	    415.73	    417.83
      6.04	    419.91	    422.03
      6.05	    424.13	    426.27
      6.06	    428.39	    430.55
      6.07	    432.70	    434.88
      6.08	    437.05	    439.25
      6.09	    441.44	    443.67
      6.10	    445.88	    448.12
      6.11	    450.36	    452.63
      6.12	    454.89	    457.18
      6.13	    459.46	    461.77
      6.14	    464.07	    466.41
      6.15	    468.74	    471.10
      6.16	    473.45	    475.84
      6.17	    478.21	    480.62
      6.18	    483.01	    485.45
      6.19	    487.87	    490.33
      6.20	    492.77	    495.26
      6.21	    497.72	    500.23
      6.22	    502.73	    505.26
      6.23	    507.78	    510.34
      6.24	    512.88	    515.47
      6.25	    518.04	    520.65
      6.26	    523.24	    525.88
      6.27	    528.50	    531.17
